項目名 , 旧表記 , 資材_mode , 部品センター_mode , 技術_mode , 採番担当_mode , 資材_required , 部品センター_required , 技術_required , 採番担当_required , 資材_default , 部品センター_default , 技術_default , 採番担当_default
機歴用品目区分 ,  , hide , hide , hide , hide ,  ,  ,  ,  ,  ,  ,  , 
予備区分8 ,  , hide , hide , hide , hide ,  ,  ,  ,  ,  ,  ,  , 
予備区分9 ,  , hide , hide , hide , hide ,  ,  ,  ,  ,  ,  ,  , 
予備区分10 ,  , hide , hide , hide , hide ,  ,  ,  ,  ,  ,  ,  , 
製品ｺｰﾄﾞ必須 ,  , hide , hide , hide , hide ,  ,  ,  ,  , 0 , 0 , 0 , 0
品目名変更可能 ,  , hide , hide , hide , hide ,  ,  ,  ,  , 0 , 0 , 0 , 0
定価変更可能 ,  , hide , hide , hide , hide ,  ,  ,  ,  , 0 , 0 , 0 , 0
一括売上対象 ,  , hide , hide , hide , hide ,  ,  ,  ,  , 0 , 0 , 0 , 0
予備ﾌﾗｸﾞ5 ,  , hide , hide , hide , hide ,  ,  ,  ,  , 0 , 0 , 0 , 0
予備ﾌﾗｸﾞ6 ,  , hide , hide , hide , hide ,  ,  ,  ,  , 0 , 0 , 0 , 0
予備ﾌﾗｸﾞ7 ,  , hide , hide , hide , hide ,  ,  ,  ,  , 0 , 0 , 0 , 0
予備ﾌﾗｸﾞ8 ,  , hide , hide , hide , hide ,  ,  ,  ,  , 0 , 0 , 0 , 0
予備ﾌﾗｸﾞ9 ,  , hide , hide , hide , hide ,  ,  ,  ,  , 0 , 0 , 0 , 0
予備ﾌﾗｸﾞ10 ,  , hide , hide , hide , hide ,  ,  ,  ,  , 0 , 0 , 0 , 0
税率区分 ,  , hide , hide , hide , hide ,  ,  ,  ,  ,  ,  ,  , 
処理区分 ,  , hide , hide , hide , hide ,  ,  ,  ,  , U , U , U , U
